| 6h return | daily fractional period | daily return | weekly fractional period | weekly return | monthly fractional period | monthly return | annual fractional period | annual return |
| 0.025972 | 0.250000 | 0.103886 | 0.051587 | 0.503448 | 0.011905 | 2.181610 | 0.000684 | 37.943650 |
| 0.009068 | 0.250000 | 0.036272 | 0.051587 | 0.175781 | 0.011905 | 0.761718 | 0.000684 | 13.248173 |
| -0.014376 | 0.250000 | -0.057505 | 0.051587 | -0.278678 | 0.011905 | -1.207603 | 0.000684 | -21.003232 |
| 0.058992 | 0.250000 | 0.235970 | 0.051587 | 1.143547 | 0.011905 | 4.955368 | 0.000684 | 86.186245 |
| -0.013323 | 0.250000 | -0.053291 | 0.051587 | -0.258255 | 0.011905 | -1.119104 | 0.000684 | -19.464015 |
| 0.011102 | 0.250000 | 0.044407 | 0.051587 | 0.215203 | 0.011905 | 0.932548 | 0.000684 | 16.219345 |
| 0.000364 | 0.250000 | 0.001455 | 0.051587 | 0.007049 | 0.011905 | 0.030545 | 0.000684 | 0.531247 |
| -0.013162 | 0.250000 | -0.052649 | 0.051587 | -0.255145 | 0.011905 | -1.105626 | 0.000684 | -19.229608 |
| 0.000979 | 0.250000 | 0.003918 | 0.051587 | 0.018985 | 0.011905 | 0.082270 | 0.000684 | 1.430885 |
| 0.006994 | 0.250000 | 0.027976 | 0.051587 | 0.135577 | 0.011905 | 0.587499 | 0.000684 | 10.218076 |
| -0.007568 | 0.250000 | -0.030273 | 0.051587 | -0.146709 | 0.011905 | -0.635738 | 0.000684 | -11.057076 |
| -0.024287 | 0.250000 | -0.097147 | 0.051587 | -0.470791 | 0.011905 | -2.040096 | 0.000684 | -35.482363 |
| 0.000915 | 0.250000 | 0.003659 | 0.051587 | 0.017733 | 0.011905 | 0.076843 | 0.000684 | 1.336487 |
| 0.009283 | 0.250000 | 0.037130 | 0.051587 | 0.179938 | 0.011905 | 0.779733 | 0.000684 | 13.561501 |
| 0.013029 | 0.250000 | 0.052115 | 0.051587 | 0.252559 | 0.011905 | 1.094423 | 0.000684 | 19.034756 |
| -0.007232 | 0.250000 | -0.028929 | 0.051587 | -0.140196 | 0.011905 | -0.607516 | 0.000684 | -10.566230 |
| 0.001868 | 0.250000 | 0.007473 | 0.051587 | 0.036218 | 0.011905 | 0.156943 | 0.000684 | 2.729627 |
| -0.000691 | 0.250000 | -0.002764 | 0.051587 | -0.013393 | 0.011905 | -0.058036 | 0.000684 | -1.009392 |
| -0.002296 | 0.250000 | -0.009185 | 0.051587 | -0.044511 | 0.011905 | -0.192880 | 0.000684 | -3.354668 |
| -0.018204 | 0.250000 | -0.072814 | 0.051587 | -0.352869 | 0.011905 | -1.529100 | 0.000684 | -26.594866 |
| 0.007030 | 0.250000 | 0.028119 | 0.051587 | 0.136267 | 0.011905 | 0.590490 | 0.000684 | 10.270101 |
| -0.000496 | 0.250000 | -0.001983 | 0.051587 | -0.009610 | 0.011905 | -0.041644 | 0.000684 | -0.724291 |
| 0.014820 | 0.250000 | 0.059282 | 0.051587 | 0.287288 | 0.011905 | 1.244914 | 0.000684 | 21.652171 |
| -0.007871 | 0.250000 | -0.031483 | 0.051587 | -0.152573 | 0.011905 | -0.661148 | 0.000684 | -11.499023 |
| -0.007452 | 0.250000 | -0.029808 | 0.051587 | -0.144453 | 0.011905 | -0.625964 | 0.000684 | -10.887077 |
| 0.028112 | 0.250000 | 0.112447 | 0.051587 | 0.544936 | 0.011905 | 2.361389 | 0.000684 | 41.070463 |
| 0.001387 | 0.250000 | 0.005549 | 0.051587 | 0.026892 | 0.011905 | 0.116531 | 0.000684 | 2.026760 |
| 0.004818 | 0.250000 | 0.019273 | 0.051587 | 0.093401 | 0.011905 | 0.404736 | 0.000684 | 7.039363 |
| 0.005156 | 0.250000 | 0.020625 | 0.051587 | 0.099954 | 0.011905 | 0.433133 | 0.000684 | 7.533266 |
| -0.037114 | 0.250000 | -0.148455 | 0.051587 | -0.719434 | 0.011905 | -3.117547 | 0.000684 | -54.221937 |
| 0.007972 | 0.250000 | 0.031886 | 0.051587 | 0.154525 | 0.011905 | 0.669606 | 0.000684 | 11.646129 |
| -0.026690 | 0.250000 | -0.106761 | 0.051587 | -0.517382 | 0.011905 | -2.241990 | 0.000684 | -38.993804 |
| 0.017496 | 0.250000 | 0.069986 | 0.051587 | 0.339163 | 0.011905 | 1.469704 | 0.000684 | 25.561830 |
| -0.038307 | 0.250000 | -0.153228 | 0.051587 | -0.742566 | 0.011905 | -3.217786 | 0.000684 | -55.965337 |
| -0.018088 | 0.250000 | -0.072353 | 0.051587 | -0.350636 | 0.011905 | -1.519423 | 0.000684 | -26.426559 |
| -0.011975 | 0.250000 | -0.047899 | 0.051587 | -0.232125 | 0.011905 | -1.005875 | 0.000684 | -17.494688 |
| 0.003044 | 0.250000 | 0.012175 | 0.051587 | 0.059001 | 0.011905 | 0.255672 | 0.000684 | 4.446784 |
| 0.004291 | 0.250000 | 0.017164 | 0.051587 | 0.083180 | 0.011905 | 0.360445 | 0.000684 | 6.269045 |
| 0.007440 | 0.250000 | 0.029760 | 0.051587 | 0.144221 | 0.011905 | 0.624956 | 0.000684 | 10.869553 |
| 0.002104 | 0.250000 | 0.008416 | 0.051587 | 0.040785 | 0.011905 | 0.176733 | 0.000684 | 3.073836 |
| -0.004115 | 0.250000 | -0.016459 | 0.051587 | -0.079765 | 0.011905 | -0.345649 | 0.000684 | -6.011704 |
| -0.004476 | 0.250000 | -0.017905 | 0.051587 | -0.086770 | 0.011905 | -0.376004 | 0.000684 | -6.539652 |
| 0.013456 | 0.250000 | 0.053823 | 0.051587 | 0.260833 | 0.011905 | 1.130278 | 0.000684 | 19.658363 |
| 0.021623 | 0.250000 | 0.086494 | 0.051587 | 0.419162 | 0.011905 | 1.816367 | 0.000684 | 31.591155 |
| -0.024966 | 0.250000 | -0.099866 | 0.051587 | -0.483965 | 0.011905 | -2.097180 | 0.000684 | -36.475207 |
| -0.016109 | 0.250000 | -0.064435 | 0.051587 | -0.312261 | 0.011905 | -1.353129 | 0.000684 | -23.534296 |
| -0.009246 | 0.250000 | -0.036985 | 0.051587 | -0.179233 | 0.011905 | -0.776678 | 0.000684 | -13.508377 |
| 0.021282 | 0.250000 | 0.085130 | 0.051587 | 0.412552 | 0.011905 | 1.787725 | 0.000684 | 31.093010 |
| 0.001600 | 0.250000 | 0.006400 | 0.051587 | 0.031015 | 0.011905 | 0.134399 | 0.000684 | 2.337538 |
| 0.005790 | 0.250000 | 0.023160 | 0.051587 | 0.112235 | 0.011905 | 0.486350 | 0.000684 | 8.458844 |
| -0.001915 | 0.250000 | -0.007660 | 0.051587 | -0.037120 | 0.011905 | -0.160852 | 0.000684 | -2.797612 |
| 0.003102 | 0.250000 | 0.012406 | 0.051587 | 0.060121 | 0.011905 | 0.260526 | 0.000684 | 4.531201 |
| 0.003170 | 0.250000 | 0.012679 | 0.051587 | 0.061444 | 0.011905 | 0.266258 | 0.000684 | 4.630889 |
| 0.014444 | 0.250000 | 0.057775 | 0.051587 | 0.279989 | 0.011905 | 1.213285 | 0.000684 | 21.102052 |
| -0.002844 | 0.250000 | -0.011376 | 0.051587 | -0.055132 | 0.011905 | -0.238904 | 0.000684 | -4.155137 |
| -0.001103 | 0.250000 | -0.004413 | 0.051587 | -0.021384 | 0.011905 | -0.092663 | 0.000684 | -1.611646 |
| 0.019964 | 0.250000 | 0.079856 | 0.051587 | 0.386994 | 0.011905 | 1.676975 | 0.000684 | 29.166796 |
| -0.007408 | 0.250000 | -0.029633 | 0.051587 | -0.143608 | 0.011905 | -0.622299 | 0.000684 | -10.823344 |
| 0.059633 | 0.250000 | 0.238534 | 0.051587 | 1.155972 | 0.011905 | 5.009213 | 0.000684 | 87.122729 |
| 0.009669 | 0.250000 | 0.038678 | 0.051587 | 0.187439 | 0.011905 | 0.812236 | 0.000684 | 14.126814 |
| 0.007200 | 0.250000 | 0.028799 | 0.051587 | 0.139565 | 0.011905 | 0.604780 | 0.000684 | 10.518632 |
| -0.000609 | 0.250000 | -0.002436 | 0.051587 | -0.011805 | 0.011905 | -0.051156 | 0.000684 | -0.889724 |
| -0.016117 | 0.250000 | -0.064468 | 0.051587 | -0.312423 | 0.011905 | -1.353834 | 0.000684 | -23.546549 |
| -0.035413 | 0.250000 | -0.141652 | 0.051587 | -0.686468 | 0.011905 | -2.974693 | 0.000684 | -51.737341 |
| 0.000628 | 0.250000 | 0.002511 | 0.051587 | 0.012170 | 0.011905 | 0.052736 | 0.000684 | 0.917203 |
| 0.007683 | 0.250000 | 0.030733 | 0.051587 | 0.148935 | 0.011905 | 0.645384 | 0.000684 | 11.224847 |
| -0.003399 | 0.250000 | -0.013596 | 0.051587 | -0.065889 | 0.011905 | -0.285520 | 0.000684 | -4.965914 |
| -0.000960 | 0.250000 | -0.003840 | 0.051587 | -0.018607 | 0.011905 | -0.080632 | 0.000684 | -1.402386 |
| 0.007871 | 0.250000 | 0.031484 | 0.051587 | 0.152577 | 0.011905 | 0.661168 | 0.000684 | 11.499360 |
| 0.004955 | 0.250000 | 0.019822 | 0.051587 | 0.096059 | 0.011905 | 0.416254 | 0.000684 | 7.239693 |
| -0.011316 | 0.250000 | -0.045263 | 0.051587 | -0.219350 | 0.011905 | -0.950515 | 0.000684 | -16.531838 |
| -0.003114 | 0.250000 | -0.012456 | 0.051587 | -0.060362 | 0.011905 | -0.261569 | 0.000684 | -4.549333 |
| -0.002677 | 0.250000 | -0.010706 | 0.051587 | -0.051884 | 0.011905 | -0.224832 | 0.000684 | -3.910390 |
| 0.011318 | 0.250000 | 0.045270 | 0.051587 | 0.219386 | 0.011905 | 0.950673 | 0.000684 | 16.534579 |
| -0.002806 | 0.250000 | -0.011225 | 0.051587 | -0.054397 | 0.011905 | -0.235719 | 0.000684 | -4.099746 |
| -0.058555 | 0.250000 | -0.234221 | 0.051587 | -1.135071 | 0.011905 | -4.918642 | 0.000684 | -85.547486 |
| -0.026454 | 0.250000 | -0.105816 | 0.051587 | -0.512801 | 0.011905 | -2.222139 | 0.000684 | -38.648547 |
| 0.003206 | 0.250000 | 0.012825 | 0.051587 | 0.062153 | 0.011905 | 0.269329 | 0.000684 | 4.684302 |
| 0.006281 | 0.250000 | 0.025125 | 0.051587 | 0.121758 | 0.011905 | 0.527616 | 0.000684 | 9.176564 |
| -0.022701 | 0.250000 | -0.090802 | 0.051587 | -0.440041 | 0.011905 | -1.906846 | 0.000684 | -33.164825 |
| -0.058547 | 0.250000 | -0.234188 | 0.051587 | -1.134913 | 0.011905 | -4.917956 | 0.000684 | -85.535546 |
